Date & time;Dag;Profile E1a [kWh];Profile E1b [kWh];Totaal;;uurfractie E
01-13-2009 02:00:00;13,00;924,8892092;1044,855634;1969,744844;;0,00006305
01-13-2009 03:00:00;13,00;879,2297103;905,5715356;1784,801246;;0,00005713
01-13-2009 04:00:00;13,00;879,8796675;895,3763594;1775,256027;;0,00005682
01-13-2009 05:00:00;13,00;909,2902344;1016,668971;1925,959205;;0,00006165
01-13-2009 06:00:00;13,00;1089,815869;1175,743706;2265,559575;;0,00007252
01-13-2009 07:00:00;13,00;1593,207782;1602,591746;3195,799528;;0,00010230
01-13-2009 08:00:00;13,00;2153,795936;2020,7439;4174,539836;;0,00013362
01-13-2009 09:00:00;13,00;2393,955151;1949,977383;4343,932534;;0,00013905
01-13-2009 10:00:00;13,00;2402,567085;1814,59144;4217,158525;;0,00013499
01-13-2009 11:00:00;13,00;2330,259337;1732,880101;4063,139438;;0,00013006
01-13-2009 12:00:00;13,00;2423,040739;1794,201087;4217,241826;;0,00013499
01-13-2009 13:00:00;13,00;2368,769306;1680,854716;4049,624022;;0,00012963
01-13-2009 14:00:00;13,00;2306,860875;1695,847622;4002,708498;;0,00012812
01-13-2009 15:00:00;13,00;2336,596421;1645,471458;3982,067878;;0,00012746
01-13-2009 16:00:00;13,00;2559,206789;1827,33541;4386,542199;;0,00014041
01-13-2009 17:00:00;13,00;3343,867715;2578,330083;5922,197798;;0,00018957
01-13-2009 18:00:00;13,00;3790,063388;3123,92194;6913,985328;;0,00022131
01-13-2009 19:00:00;13,00;3745,541314;3146,561228;6892,102542;;0,00022061
01-13-2009 20:00:00;13,00;3429,012119;2849,701685;6278,713804;;0,00020098
01-13-2009 21:00:00;13,00;3164,154527;2597,670932;5761,825459;;0,00018443
01-13-2009 22:00:00;13,00;2840,800781;2383,872089;5224,67287;;0,00016724
01-13-2009 23:00:00;13,00;2225,291237;2207,555512;4432,846748;;0,00014189
01-14-2009 00:00:00;13,00;1451,842074;1837,530586;3289,37266;;0,00010529
01-14-2009 01:00:00;14,00;1065,76745;1314,278159;2380,045609;;0,00007618
01-14-2009 02:00:00;14,00;956,2496479;1048,603861;2004,853509;;0,00006417
01-14-2009 03:00:00;14,00;892,3913452;913,3678469;1805,759192;;0,00005780
01-14-2009 04:00:00;14,00;867,3679899;902,8728125;1770,240802;;0,00005666
01-14-2009 05:00:00;14,00;896,4535782;1030,162586;1926,616164;;0,00006167
01-14-2009 06:00:00;14,00;1074,054405;1197,933207;2271,987612;;0,00007272
01-14-2009 07:00:00;14,00;1560,709918;1631,228197;3191,938115;;0,00010217
01-14-2009 08:00:00;14,00;2158,345637;2101,255807;4259,601444;;0,00013635
01-14-2009 09:00:00;14,00;2474,062386;1895,403204;4369,46559;;0,00013986
01-14-2009 10:00:00;14,00;2629,727154;1783,855982;4413,583136;;0,00014128
01-14-2009 11:00:00;14,00;2591,542164;1694,798119;4286,340283;;0,00013720
01-14-2009 12:00:00;14,00;2600,154098;1695,097977;4295,252075;;0,00013749
01-14-2009 13:00:00;14,00;2497,623337;1695,697693;4193,32103;;0,00013423
01-14-2009 14:00:00;14,00;2465,287962;1687,151737;4152,439699;;0,00013292
01-14-2009 15:00:00;14,00;2540,845496;1634,826494;4175,67199;;0,00013366
01-14-2009 16:00:00;14,00;2791,891495;1849,974698;4641,866194;;0,00014858
01-14-2009 17:00:00;14,00;3347,44248;2522,106684;5869,549164;;0,00018788
