"Regio's";"Perioden";"m3";"m3";"m3";"m3";"m3";"m3";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Bloemendaal";"2011";"2200";"1150";"1750";"2150";"2800";"3950";"0.0";"3850";"2250";"3500";"3900";"4650";"5650"
"Bloemendaal";"2012*";"2400";"1250";"1900";"2300";"3000";"4300";"0.0";"3850";"2250";"3400";"3850";"4550";"5650"
"Boarnsterhim";"2010";"2200";"1350";"1750";"2050";"2150";"2650";"0.0";"3100";"1750";"2600";"2650";"3250";"3900"
"Boarnsterhim";"2011";"1700";"1000";"1300";"1550";"1650";"2100";"0.0";"3100";"1850";"2550";"2650";"3300";"3850"
"Boarnsterhim";"2012*";"1800";"1150";"1400";"1650";"1800";"2250";"0.0";"3050";"1800";"2550";"2600";"3200";"3800"
"Bodegraven-Reeuwijk";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Bodegraven-Reeuwijk";"2011";"1600";"950";"1400";"1700";"1950";"2650";"0.0";"3550";"2150";"3450";"3650";"4050";"4850"
"Bodegraven-Reeuwijk";"2012*";"1650";"950";"1450";"1750";"2050";"2750";"0.0";"3450";"2100";"3350";"3600";"4000";"4700"
"Boekel";"2010";"2400";"1100";"1800";"2050";"2400";"2900";"0.0";"4200";"2500";"3450";"3600";"4250";"4800"
"Boekel";"2011";"1900";"850";"1400";"1600";"1900";"2400";"0.0";"4150";"2400";"3300";"3600";"4200";"4850"
"Boekel";"2012*";"1950";"900";"1400";"1650";"2000";"2450";"0.0";"4100";"2350";"3350";"3600";"4200";"4850"
"Ten Boer";"2010";"2450";"1050";"2100";"2350";"2200";"2800";"0.0";"3550";"2050";"3050";"3150";"3450";"4050"
"Ten Boer";"2011";"1900";"750";"1600";"1900";"1700";"2250";"0.0";"3500";"1950";"3000";"3150";"3350";"4000"
"Ten Boer";"2012*";"2050";"800";"1700";"2050";"1850";"2400";"0.0";"3400";"1950";"2950";"3100";"3300";"3950"
"Borger-Odoorn";"2010";"2650";"1450";"2000";"2200";"2300";"3100";"0.0";"3750";"2250";"2900";"3100";"3400";"4300"
