"gemeente","dwel_type","class_2","class_1","class_3"
"Raalte","appartement",2150,1720,2580
"Reimerswaal","appartement",2050,1640,2460
"Renkum","appartement",2100,1680,2520
"Renswoude","appartement",2400,1920,2880
"Reusel-De Mierden","appartement",2650,2120,3180
"Rheden","appartement",2150,1720,2580
"Rhenen","appartement",2450,1960,2940
"Ridderkerk","appartement",2500,2000,3000
"Rijnwaarden","appartement",2050,1640,2460
"Rijnwoude","appartement",2100,1680,2520
"Rijssen-Holten","appartement",2150,1720,2580
"Rijswijk (ZH.)","appartement",2300,1840,2760
"Roerdalen","appartement",2150,1720,2580
"Roermond","appartement",2200,1760,2640
"De Ronde Venen","appartement",2450,1960,2940
"Roosendaal","appartement",2200,1760,2640
"Rotterdam","appartement",2250,1800,2700
"Rozendaal","appartement",2230,1780,2680
"Rucphen","appartement",2400,1920,2880
"Schagen","appartement",2200,1760,2640
"Schermer","appartement",2150,1720,2580
"Scherpenzeel","appartement",2200,1760,2640
"Schiedam","appartement",2350,1880,2820
"Schiermonnikoog","appartement",2230,1790,2680
"Schijndel","appartement",2400,1920,2880
"Schinnen","appartement",2350,1880,2820
"Schoonhoven","appartement",2250,1800,2700
"Schouwen-Duiveland","appartement",2300,1840,2760
"Simpelveld","appartement",2300,1840,2760
"Sint Anthonis","appartement",2250,1800,2700
"Sint-Michielsgestel","appartement",2300,1840,2760
"Sint-Oedenrode","appartement",2550,2040,3060
"Sittard-Geleen","appartement",2200,1760,2640
"Skarsterlân","appartement",2000,1600,2400
"Sliedrecht","appartement",2050,1640,2460
"Slochteren","appartement",2100,1680,2520
"Sluis","appartement",2400,1920,2880
"Smallingerland","appartement",1900,1520,2280
"Soest","appartement",2350,1880,2820
"Someren","appartement",2300,1840,2760
"Son en Breugel","appartement",2500,2000,3000
"Spijkenisse","appartement",2450,1960,2940
"Stadskanaal","appartement",2000,1600,2400
"Staphorst","appartement",2700,2160,3240
"Stede Broec","appartement",2150,1720,2580
"Steenbergen","appartement",2200,1760,2640
"Steenwijkerland","appartement",2000,1600,2400
"Stein (L.)","appartement",2100,1680,2520
"Stichtse Vecht","appartement",2300,1840,2760
"Strijen","appartement",1850,1480,2220
"Sudwest-Fryslan","appartement",1850,1480,2220
"Terneuzen","appartement",2350,1880,2820
"Terschelling","appartement",2700,2160,3240
"Texel","appartement",2200,1760,2640
"Teylingen","appartement",2300,1840,2760
"Tholen","appartement",2150,1720,2580
"Tiel","appartement",2250,1800,2700
"Tilburg","appartement",2150,1720,2580
"Tubbergen","appartement",2200,1760,2640
"Twenterand","appartement",2200,1760,2640
"Tynaarlo","appartement",2200,1760,2640
"Tytsjerksteradiel","appartement",1850,1480,2220
"Ubbergen","appartement",2750,2200,3300
"Uden","appartement",2500,2000,3000
"Uitgeest","appartement",2000,1600,2400
"Uithoorn","appartement",2250,1800,2700
"Urk","appartement",2350,1880,2820
"Utrecht (gemeente)","appartement",2150,1720,2580
